UserId  StudyGroupId    Scenario1      Scenario2      Scenario3      Scenario4      Scenario5      Scenario6      Scenario7      Scenario8
8DC4DEA1-2087-4079-950B-0EE8E50F10BF    2       1       2       2       2       2       1       1       1
29A953B1-3FEF-4D63-AEEC-1DD33DDDD898    2       4       3       3       4       3       2       3       4
8B13E51C-3BB4-45EB-BF98-1E51F1AF8EC1    2       1       1       1       2       2       1       1       2
A6C634F4-F539-4306-981B-3879A69679AF    2       1       1       1       2       2       1       1       1
4F6C81A4-1A90-4559-BA53-52008812A6B9    2       3       1       1       1       2       1       1       1
53A97666-9AA7-4E8D-8F89-5AABCD04E4BF    2       1       1       1       1       2       1       1       1
11E91D7B-16F7-42A5-8DDE-63A5AE973264    2       1       2       1       1       1       1       2       1
F4DC0AED-3ED2-4289-B19D-755CEFC11880    2       1       1       2       1       2       1       1       1
80BC42B6-87A4-4252-ADCD-78A90F56548A    2       2       2       1       1       2       1       1       1
83ED9EA9-61A0-436A-BA82-792226BC6890    2       1       1       3       1       2       1       1       1
D13D9D69-DB6F-4B41-82C8-8793E0704915    2       3       1       2       2       2       1       1       1
62F777C5-06AE-4A02-B69E-967AC49CE0E6    2       2       2       2       2       2       1       2       2
0D3400FC-5A73-4D9A-A9A2-A2DD32652790    2       1       2       2       2       2       1       1       2
CC1A2A64-692C-4BD5-9BA1-B58CA41B78A2    2       1       1       2       2       2       1       1       1
AC5D0CB6-211C-4770-90DE-CD8D2456EAAF    2       1       1       1       1       2       1       1       1
10DAD70B-581F-439D-B854-D0A539D6A063    2       2       1       2       1       2       1       1       1
B0B35BC8-AE59-48CD-B075-E4ECB6D33ED6    2       1       2       2       2       2       1       1       1
CAB95FC2-B468-485F-810E-E6C3EE068F14    2       1       1       2       2       2       1       2       1
A774DA64-3BE3-46C2-92E5-E72EBA014ABC    2       1       2       2       1       2       1       1       2
